sprintDayCount,regressionTestDayCount,dayStartTime,programmerCount,testerCount,maxInitialProgrammerWorkTimeInHours,maxFullRunTesterWorkTimeInHours,maxQaAutomationTime,averagePassBackCount,checkRefinement,programmerToTesterRatio,peekProgTimeToPeekCheckTimeRatio,peekCheckTimeToPeekAutomationTimeRatio,peekProgTimeToPeekAutomationTimeRatio,percentageOfSprintTicketsDone,percentageOfSprintTicketsAutomated,percentageOfProgrammerTimeSpentProgramming,percentageOfProgrammingTimeForProductiveProgramming,percentageOfProgrammingTimeForRedundantProgramming,percentageOfProgrammingTimeForFluffProgramming,percentageOfProgrammingTimeForNonFluffProgramming,percentageOfProgrammerTimeSpentCodeReview,percentageOfCodeReviewTimeForProductiveCodeReview,percentageOfCodeReviewTimeForRedundantCodeReview,percentageOfCodeReviewTimeForFluffCodeReview,percentageOfCodeReviewTimeForNonFluffCodeReview,percentageOfTesterTimeSpentChecking,percentageOfCheckingTimeForProductiveChecking,percentageOfCheckingTimeForRedundantChecking,percentageOfCheckingTimeForFluffChecking,percentageOfCheckingTimeForNonFluffChecking,projectedDeadlockAsSprintCount,projectedDeadlockAsNumberOfDays,growthRate
15,5,8.5,3,3,7.5,5,7.5,3,0.3,1:1,7.5:5,2:3,1:1,0.3125,0.020833333333333332,0.5194444444444445,0.5049465240641712,0.5161764705882353,0.5786764705882353,0.4213235294117647,0.07788194444444445,0.20686580472581365,0.7931341952741864,0.46098974587605884,0.5390102541239411,0.31319444444444444,0.20266075388026608,0.797339246119734,0.30454545454545456,0.6954545454545454,34,510,0.19119537275064266
15,7,11,4,3,2.5,17.5,7.5,3.5,0.4,4:3,1:7,7:3,1:3,0.009433962264150943,0,0.42954545454545456,0.8762125220458554,0.12378747795414462,0.9713955026455027,0.028604497354497355,0.11358901515151515,0.04418507711546478,0.9558149228845352,0.9814506044185077,0.018549395581492288,0.25299873737373735,0.07024329382407984,0.9297567061759201,0.8956955708047412,0.1043044291952589,36,540,0.15446038677479726
10,3,9.75,4,3,12.5,20,12.5,3,0.3,4:3,12.5:20,8:5,1:1,0.02127659574468085,0,0.5803285256410257,0.7498101484294097,0.25018985157059026,0.9516741456679323,0.04832585433206766,0.05260416666666667,0.0715917745620716,0.9284082254379284,0.9725818735719726,0.027418126428027417,0.3751068376068376,0.05354599829108516,0.9464540017089148,0.9268014810595272,0.0731985189404728,21,210,0.20250640843064655
10,5,8.75,4,2,5,12.5,12.5,2,0.5,2:1,2:5,1:1,2:5,0.018691588785046728,0,0.4826388888888889,0.9056115107913669,0.09438848920863309,0.9760431654676259,0.0239568345323741,0.09149305555555555,0.1635673624288425,0.8364326375711575,0.9612903225806452,0.03870967741935484,0.22104166666666666,0.15739868049010367,0.8426013195098964,0.6852026390197926,0.31479736098020733,30,300,0.1803330191643104
15,3,10.25,6,3,10,5,17.5,3,0.8,2:1,2:1,2:7,4:7,0.25,0,0.5641203703703703,0.4536315141567501,0.5463684858432499,0.6383189714129394,0.3616810285870606,0.062287808641975306,0.18240941467946734,0.8175905853205326,0.612883245586869,0.387116754413131,0.4191743827160494,0.1811320754716981,0.8188679245283019,0.5097100782328579,0.4902899217671422,418,6270,0.057984353428439946
15,6,10.5,5,2,15,10,7.5,3.5,0.3,5:2,3:2,4:3,2:1,0.011764705882352941,0,0.6232539682539683,0.7974659365847447,0.20253406341525532,0.9852922450019101,0.014707754998089902,0.03908730158730159,0.07563451776649746,0.9243654822335026,0.9817258883248731,0.018274111675126905,0.28983134920634923,0.05014547321581379,0.9498545267841862,0.8495635803525586,0.1504364196474414,29,435,0.1728564093787438
5,2,10.25,5,4,17.5,2.5,10,3.5,0.1,5:4,7:1,2.5:10,17.5:10,0.047619047619047616,0.047619047619047616,0.5928571428571429,0.6424698795180723,0.40281124497991966,0.9629518072289157,0.037048192771084336,0.037976190476190476,0.025078369905956112,0.9749216300940439,0.9749216300940439,0.025078369905956112,0.07931547619047619,0.03189493433395872,0.9681050656660413,0.9681050656660413,0.03189493433395872,30,150,0.12854317732366513
10,2,10.5,3,2,17.5,7.5,15,3.5,0.1,3:2,7:3,7.5:15,17.5:15,0,0,0.6320601851851851,0.4266617835561253,0.5733382164438747,1,0,0.03211805555555555,0.021621621621621623,0.9783783783783784,1,0,0.21779513888888888,0,1,1,0,,,
20,3,9.25,3,3,12.5,15,7.5,1,0.9,1:1,12.5:15,2:1,5:3,0.5245901639344263,0,0.5864432367149759,0.6917571950780003,0.3082428049219997,0.40827884466869174,0.5917211553313082,0.05739734299516908,0.5602314571278275,0.43976854287217254,0.3908469226722778,0.6091530773277223,0.5185688405797102,0.49088791848617175,0.5091120815138283,0.18981077147016012,0.8101892285298399,773,15460,0.055487627365356625
5,2,8.75,4,4,17.5,7.5,12.5,3,0.5,1:1,7:3,3:5,7:5,0,0,0.5858630952380952,0.6893573787147574,0.31064262128524256,1,0,0.04069940476190476,0.1425959780621572,0.8574040219378428,1,0,0.1087797619047619,0,1,1,0,,,
